vehicle reg no,trip id,route description,mapper,company,date mapped,start coordinate,end coordinate,distance,start time,travel time,revenue,on/off discrepancy,fares,number of stops,total passengers,gps loss (km),city,route_id,direction,origin,destination,interval,travel_time_min,speed,hour,peak period
RY137,30511077,MAS011_R_Maseru Town Center_Main South 1,Thato Sekeleme,Maseru_Association_Test,2020-12-09,"27.495943, -29.319605","27.517160, -29.345953",3.67,10:04:08,0:11,16.0,0,8,2,2,0.0,Maseru,MAS011,R,Maseru Town Center,Main South 1,2021-01-08 10:00:00,11,20.018181818181816,10,peak
A74BBC,30511178,MAS012_F_Maseru Town Center_Thetsane,Bokang Mokoena,Maseru_Association_Test,2020-12-09,"27.473387, -29.322508","27.457739, -29.344519",3.92,10:10:57,0:04,40.0,3,8,3,5,0.0,Maseru,MAS012,F,Maseru Town Center,Thetsane,2021-01-08 10:15:00,4,58.8,10,peak
RY137,30511217,MAS011_F_Maseru Town Center_Main South 1,Thato Sekeleme,Maseru_Association_Test,2020-12-09,"27.515593, -29.343727","27.512856, -29.343311",0.52,10:17:42,0:01,8.0,0,8,2,1,0.0,Maseru,MAS011,F,Maseru Town Center,Main South 1,2021-01-08 10:15:00,1,31.200000000000003,10,peak
RR198,30511245,MAS002_R_Maseru Town Center_Naleli,Mafusi Sakoane,Maseru_Association_Test,2020-12-09,"27.546574, -29.287834","27.543766, -29.291553",0.5,10:19:06,0:00,16.0,2,8,1,2,0.0,Maseru,MAS002,R,Maseru Town Center,Naleli,2021-01-08 10:15:00,0,0.0,10,peak
DK313,30511267,MAS002_F_Maseru Town Center_Naleli,Sthembile Pinda,Maseru_Association_Test,2020-12-09,"27.527695, -29.283195","27.529993, -29.277969",0.69,10:18:51,0:01,8.0,0,8,2,1,0.0,Maseru,MAS002,F,Maseru Town Center,Naleli,2021-01-08 10:15:00,1,41.4,10,peak
RP216,30511436,MAS009_R_Maseru Town Center_Thamae,Nthabeleng  Fosa,Maseru_Association_Test,2020-12-09,"27.515020, -29.332113","27.483265, -29.314295",4.44,10:10:40,0:08,16.0,-2,8,2,2,0.0,Maseru,MAS009,R,Maseru Town Center,Thamae,2021-01-08 10:15:00,8,33.300000000000004,10,peak
RZ731,30511917,MAS002_R_Maseru Town Center_Naleli,Mpho  Mokitimi,Maseru_Association_Test,2020-12-09,"27.552225, -29.284460","27.495531, -29.312559",12.62,9:52:47,0:15,16.0,0,8,3,2,0.0,Maseru,MAS002,R,Maseru Town Center,Naleli,2021-01-08 10:00:00,15,50.48,9,peak
RZ434,30512054,MAS008_F_Maseru Town Center_Leqele,Mamahlabe Tsehlo,Maseru_Association_Test,2020-12-09,"27.521240, -29.346823","27.526312, -29.345249",3.15,10:10:43,0:12,8.0,0,8,3,1,0.0,Maseru,MAS008,F,Maseru Town Center,Leqele,2021-01-08 10:15:00,12,15.75,10,peak
A679BBC,30512406,MAS007_R_Maseru Town Center_Pita,Khopotso Shoaepane,Maseru_Association_Test,2020-12-09,"27.495285, -29.350689","27.495766, -29.318798",4.45,10:06:26,0:18,16.0,0,8,3,2,0.0,Maseru,MAS007,R,Maseru Town Center,Pita,2021-01-08 10:00:00,18,14.833333333333334,10,peak
A74BBC,30512486,MAS012_F_Maseru Town Center_Thetsane,Bokang Mokoena,Maseru_Association_Test,2020-12-09,"27.465631, -29.362103","27.487152, -29.380770",3.44,10:22:25,0:02,24.0,0,8,4,3,0.0,Maseru,MAS012,F,Maseru Town Center,Thetsane,2021-01-08 10:15:00,2,103.2,10,peak
RV454,30512696,MAS002_F_Maseru Town Center_Naleli,Mokhothu Mokhele,Maseru_Association_Test,2020-12-09,"27.494778, -29.311018","27.470642, -29.296408",5.06,10:15:12,0:09,24.0,-3,8,5,3,0.0,Maseru,MAS002,F,Maseru Town Center,Naleli,2021-01-08 10:15:00,9,33.733333333333334,10,peak
